line,character,dialogue,episode
220,YODA,"Unexpected this is, and unfortunate..",VI
221,LUKE,Unfortunate that I know the truth?,VI
222,YODA,No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.,VI
223,LUKE,"Well, I m sorry.",VI
224,YODA,"Remember, a Jedi s strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny.",VI
225,YODA,"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father s fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker.",VI
226,LUKE,"I can t do it, Artoo. I can t go on alone.",VI
227,BEN,Yoda will always be with you.,VI
228,LUKE,Obi-Wan! Why didn t you tell me?,VI
229,LUKE,You told me Vader betrayed and murdered my father.,VI
230,BEN,"You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalker and became Darth Vader. When that happened, the good man who was your father was destroyed. So what I have told you was true... from a certain point of view.",VI
231,LUKE,A certain point of view!,VI
232,BEN,"Luke, you re going to find that many of the truths we cling to depend greatly on our own point of view.",VI
233,BEN,"I don t blame you for being angry. If I was wrong in what I did, it certainly wouldn t have been for the first time. You see, what happened to your father was my fault.",VI
234,BEN,Anakin was a good friend.,VI
235,BEN,"When I first knew him, your father was already a great pilot. But I was amazed how strongly the Force was with him.  I took it upon myself to train him as a Jedi.  I thought that I could instruct him just as well as Yoda.  I was wrong.  My pride has had terrible consequences for the galaxy.",VI
236,LUKE,There s still good in him.,VI
237,BEN,I also thought he could be turned back to the good side. It couldn t be done. He is more machine now than man. Twisted and evil.,VI
238,LUKE,"I can t do it, Ben.",VI
239,BEN,You cannot escape your destiny.,VI
240,LUKE,I tried to stop him once. I couldn t do it.,VI
241,BEN,"Vader humbled you when first you met him, Luke...but that experience was part of your training. It taught you, among other things, the value of patience.  Had you not been so impatient to defeat Vader then, you could have finished your training here with Yoda. You would have been prepared.",VI
242,LUKE,But I had to help my friends.,VI
243,BEN,"And did you help them? It was they who had to save you. You achieved little by rushing back prematurely, I fear.",VI
244,LUKE,I found out Darth Vader was my father.,VI
245,BEN,"To be a Jedi, Luke, you must confront and then go beyond the dark side - the side your father couldn t get past. Impatience is the easiest door - for you, like your father. Only, your father was seduced by what he found on the other side of the door, and you have held firm. You re no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again!",VI
246,LUKE,I can t kill my own father.,VI
247,BEN,Then the Emperor has already won. You were our only hope.,VI
248,LUKE,Yoda spoke of another.,VI
249,BEN,The other he spoke of is your twin sister.,VI
250,LUKE,But I have no sister.,VI
251,BEN,"Hmm. To protect you both from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, if Anakin were to have any offspring, they would be a threat to him. That is the reason why your sister remains safely anonymous.",VI
252,LUKE,Leia! Leia s my sister.,VI
253,BEN,"Your insight serves you well. Bury your feelings deep down, Luke. They do you credit. But they could be made to serve the Emperor.",VI
254,BEN,"When your father left, he didn t know your mother was pregnant. Your mother and I knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible.  So I took you to live with my brother Owen on Tatooine... and your mother took Leia to live as the daughter of Senator Organa, on Alderaan.",VI
255,BEN,"The Organa household was high-born and politically quite powerful in that system. Leia became a princess by virtue of lineage... no one knew she d been adopted, of course. But it was a title without real power, since Alderaan had long been a democracy.  Even so, the family continued to be politically powerful, and Leia, following in her foster father s path, became a senator as well.  That s not all she became, of course... she became the leader of her cell in the Alliance against the corrupt Empire. And because she had diplomatic immunity, she was a vital link for getting information to the Rebel cause.  That s what she was doing when her path crossed yours... for her foster parents had always told her to contact me on Tatooine, if her troubles became desperate.",VI
256,LUKE,"But you can t let her get involved now, Ben. Vader will destroy her.",VI
257,BEN,"She hasn t been trained in the ways of the Jedi the way you have, Luke ... but the Force is strong with her, as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader!",VI
258,HAN,"Well, look at you, a general, huh?",VI
259,LANDO,"Oh, well, someone must have told them about my little maneuver at the battle of Taanab.",VI
260,HAN,"Well, don t look at me, pal. I just said you were a fair pilot. I didn t know they were lookin  for somebody to lead this crazy attack.",VI
261,LANDO,I m surprised they didn t ask you to do it.,VI
262,HAN,"Well, who says they didn t.  But I ain t crazy. You re the respectable one, remember?",VI
263,MON MOTHMA,The Emperor has made a critical error and the time for our attack has come.,VI
264,MON MOTHMA,"The data brought to us by the Bothan spies pinpoints the exact location of the Emperor s new battle station. We also know that the weapon systems of this Death Star are not yet operational. With the Imperial Fleet spread throughout the galaxy in a vain effort to engage us, it is relatively unprotected. But most important of all, we ve learned that the Emperor himself is personally overseeing the final stages of the construction of this Death Star.",VI
265,MON MOTHMA,"Many Bothans died to bring us this information. Admiral Ackbar, please.",VI
266,ACKBAR,"You can see here the Death Star orbiting the forest Moon of Endor. Although the weapon systems on this Death Star are not yet operational, the Death Star does have a strong defense mechanism. It is protected by an energy shield, which is generated from the nearby forest Moon of Endor. The shield must be deactivated if any attack is to be attempted. Once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor.",VI
267,ACKBAR,General Calrissian has volunteered to lead the fighter attack,VI
268,HAN,Good luck.,VI
269,HAN,You re gonna need it.,VI
270,ACKBAR,General Madine.,VI
271,GENERAL MADINE,"We have stolen a small Imperial shuttle. Disguised as a cargo ship, and using a secret Imperial code, a strike team will land on the moon and deactivate the shield generator.",VI
272,THREEPIO,Sounds dangerous.,VI
273,LEIA,I wonder who they found to pull that off.,VI
274,GENERAL MADINE,"General Solo, is your strike team assembled?",VI
275,HAN,"Uh, my team s ready. I don t have a command crew for the shuttle.",VI
276,HAN,"Well, it s gonna be rough, pal. I didn t want to speak for you.",VI
277,HAN,That s one.,VI
278,LEIA,"Uh, General... count me in.",VI
279,VOICE,"I m with you, too!",VI
280,LEIA,What is it?,VI
281,LUKE,Ask me again sometime.,VI
282,HAN,Luke.,VI
283,LUKE,"Hi, Han... Chewie.",VI
284,THREEPIO,\ Exciting\  is hardly the word I would use.,VI
285,HAN,Look. I want you to take her. I mean it. Take her. You need all the help you can get. She s the fastest ship in the fleet.,VI
286,LANDO,"All right, old buddy. You know, I know what she means to you. I ll take good care of her. She-she won t get a scratch. All right?",VI
287,HAN,Right. I got your promise now. Not a scratch.,VI
288,LANDO,"Look, would you get going, you pirate.",VI
289,LANDO,Good luck.,VI
290,HAN,"You, too.",VI
291,HAN,You got her warmed?,VI
292,LUKE,"Yeah, she s comin  up.",VI
293,HAN,"No. I don t think the Empire had Wookiees in mind when they designed her, Chewie.",VI
294,LEIA,"Hey, are you awake?",VI
295,HAN,"Yeah, I just got a funny feeling. Like I m not gonna see her again.",VI
296,LEIA,"Come on, General, let s move.",VI
297,HAN,"Right. Chewie, let s see what this piece of junk can do. Ready, everybody?",VI
298,LUKE,All set.,VI
299,THREEPIO,Here we go again.,VI
300,HAN,"All right, hang on.",VI
301,VADER,"What is thy bidding, my Master?",VI
302,EMPEROR,Send the fleet to the far side of Endor. There it will stay until called for.,VI
