line,character,dialogue,episode
147,REBEL CAPTAIN,"Groups seven and ten will stay behind to fly the  speeders. As soon as each transport is loaded, evacuation control will give clearance for immediate launch.",V
148,REBEL FIGHTER,"Right, sir.",V
149,HAN,"Okay, that s it. Try it...Off! Turn it  off! Turn it off! Off!",V
150,MEDICAL DROID,"Sir, it will take quite awhile to evacuate the T-forty-  sevens.",V
151,LUKE,"Well, forget the heavy equipment. There s plenty of time to get  the smaller modules on the transports.",V
152,MEDICAL DROID,"Take care, sir.",V
153,LUKE,Thanks.,V
154,LUKE,"Chewie, take care of yourself, okay?",V
155,HAN,"Hi, kid.  There s got to be a reason for it. Check it  at the other end. Wait a second.  You all right?",V
156,LUKE,Yeah.,V
157,HAN,Be careful.,V
158,LUKE,"You, too.",V
159,CONTROLLER,"General, there s a fleet of Star Destroyers coming out of  hyperspace in sector four.",V
160,RIEEKAN,Reroute all power to the energy shield. We ve got to hold  them till all transports are away. Prepare for ground assault.,V
161,VADER,"What is it, General?",V
162,VEERS,"My lord, the fleet has moves out of light-speed. Com-Scan has  detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment.",V
163,VADER,The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system.,V
164,VEERS,He felt surprise was wiser...,V
165,VADER,"He is as clumsy as he is stupid. General, prepare your troops  for a surface attack.",V
166,VEERS,"Yes, my lord.",V
167,OZZEL,"Lord Vader, the fleet has moved out of light-speed, and we re  preparing to...Aaagh!",V
168,VADER,"You have failed me for the last time, Admiral. Captain Piett.",V
169,PIETT,"Yes, my lord.",V
170,VADER,"Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett.",V
171,PIETT,"Thank you, Lord Vader.",V
172,LEIA,"All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as they re loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you ll have to stay very close to your transports.",V
173,HOBBIE,Two fighters against a Star Destroyer?,V
174,LEIA,"The ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. When you ve gotten past the energy shield, proceed directly to the rendezvous point. Understood?",V
175,PILOTS,Right. Okay.,V
176,LEIA,Good luck.,V
177,DERLIN,Okay. Everyone to your stations. Let s go!,V
178,RIEEKAN,Their primary target will be the power generators. Prepare to  open the shield.,V
179,CONTROLLER,"Sir, Rebel ships are coming into our sector.",V
180,CAPTAIN,Good. Our first catch of the day.,V
181,WOMAN CONTROLLER,"Stand by, ion control....Fire!",V
182,ANNOUNCER,The first transport is away.,V
183,DACK,"Feeling all right, sir?",V
184,LUKE,"Just like new, Dack. How about you?",V
185,DACK,Right now I feel I could take on the whole Empire myself.,V
186,LUKE,I know what you mean.,V
187,TRENCH OFFICER,Echo Station Three-T-Eight.,V
188,TRENCH OFFICER,We have spotted Imperial walkers!,V
189,CONTROLLER,Imperial walkers on the north ridge.,V
190,LUKE,Echo station Five-Seven. We re on our way.,V
191,LUKE,"All right, boys, keep tight now.",V
192,DACK,"Luke, I have no approach vector. I m not set.",V
193,LUKE,"Steady, Dack. Attack pattern delta. Go now!",V
194,LUKE,"All right, I m coming in.",V
195,LUKE,"Hobbie, you still with me?",V
196,LUKE,That armor s too strong for blasters.,V
197,LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack.",V
198,DACK,"Luke, we ve got a malfunction in fire control. I ll have to cut  in the auxiliary.",V
199,LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable.",V
200,LUKE,Dack? Dack!,V
201,VEERS,"Yes, Lord Vader. I ve reached the main power generator. The  shield will be down in moments. You may start your landing.",V
202,LUKE,Rouge Three.,V
203,WEDGE,"Copy, Rouge Leader",V
204,LUKE,"Wedge, I ve lost my gunner. You ll have to make  this shot. I ll cover for you. Set your harpoon. Follow me on the next pass.",V
205,WEDGE,"Coming around, Rouge Leader.",V
206,LUKE,"Steady, Rouge Two",V
207,WEDGE,Activate harpoon.,V
208,WEDGE,"Good shot, Janson.",V
209,WEDGE,One more pass.,V
210,JANSON,Coming around. Once more.,V
211,JANSON,One more.,V
212,JANSON,Cable out! Let her go!,V
213,WEDGE,Detach cable.,V
214,JANSON,Cable detached.,V
215,TRENCH OFFICER,Come on!,V
216,WEDGE,Whooha!! That got him!,V
217,LUKE,"I see it, Wedge. Good work.",V
218,RIEEKAN,I don t think we can protect two transports at a time.,V
219,LEIA,"It s risky, but we can t hold out much longer. We have no  choice.",V
220,RIEEKAN,Launch patrols.,V
221,LEIA,Evacuate remaining ground staff.,V
222,HAN,"No, no! No! This one goes there, that one goes there. right?",V
223,THREEPIO,"Artoo, you take good care of Master Luke now, understand?  And...do take care of yourself. Oh, dear, oh, dear.",V
224,VEERS,All troops will debark for ground assault. Prepare to target  the main generator.,V
225,LUKE,"Rouge Two, are you all right?",V
226,ZEV,"Yeah. I m with you, Rouge Leader.",V
227,LUKE,We ll set harpoon. I ll cover for you.,V
228,ZEV,Coming around.,V
229,LUKE,"Watch that cross fire, boys.",V
230,ZEV,Set for position three.  Steady.,V
231,LUKE,Stay tight and low.,V
232,LUKE,"Hobbie, I ve been hit!",V
233,HAN,You all right?,V
234,LEIA,Why are you still here?,V
235,HAN,I heard the command center had been hit.,V
236,LEIA,You got your clearance to leave.,V
237,HAN,Don t worry. I ll leave. First I m going to get you to your ship.,V
238,THREEPIO,"Your Highness, we must take this last transport. It s our  only hope.",V
239,LEIA,Send all troops in sector twelve to the south  slope to protect the fighters.,V
